Accel_x,Accel_y,Accel_z
0.509,-0.303,1.058
0.43,-0.243,1.033
0.367,-0.242,0.992
0.337,-0.244,0.95
0.306,-0.185,0.916
0.311,-0.148,0.875
0.299,-0.05,0.838
0.277,0.061,0.777
0.221,0.147,0.731
0.182,0.129,0.723
0.155,0.148,0.74
0.126,0.174,0.75
0.12,0.191,0.777
0.115,0.236,0.789
0.109,0.294,0.789
0.122,0.361,0.77
0.135,0.403,0.739
0.142,0.426,0.723
0.157,0.407,0.736
0.183,0.369,0.772
0.189,0.369,0.797
0.191,0.381,0.828
0.188,0.392,0.851
0.183,0.402,0.868
0.18,0.412,0.879
0.172,0.415,0.881
0.165,0.409,0.884
0.163,0.396,0.882
0.149,0.391,0.864
0.107,0.41,0.843
0.091,0.397,0.835
0.075,0.35,0.839
0.058,0.313,0.858
0.041,0.278,0.881
0.026,0.285,0.968
0.017,0.291,1.007
0.007,0.276,1.023
0.001,0.267,1.017
-0.008,0.259,1.013
-0.013,0.244,1.002
-0.001,0.219,0.991
0.005,0.217,0.98
0.013,0.226,0.973
0.004,0.244,0.967
0.019,0.223,0.995
0.034,0.204,1.009
0.036,0.202,1.025
0.034,0.198,1.04
0.031,0.201,1.058
0.03,0.203,1.074
0.036,0.201,1.084
0.039,0.203,1.087
0.039,0.205,1.079
0.036,0.192,1.063
0.027,0.185,1.047
0.021,0.176,1.04
0.016,0.165,1.025
0.011,0.16,1.014
0.008,0.142,1
0.012,0.13,0.996
0.015,0.128,0.991
0.016,0.135,0.986
0.013,0.134,0.988
0.018,0.134,0.997
0.022,0.134,1.012
0.031,0.139,1.024
0.031,0.141,1.039
0.036,0.137,1.04
0.051,0.13,1.044
0.062,0.117,1.046
0.07,0.1,1.047
0.079,0.087,1.05
0.07,0.072,1.098
-0.25,0.619,1.218
-0.321,0.763,1.199
-0.375,0.943,1.204
-0.411,1.12,1.197
-0.449,1.311,1.191
-0.481,1.57,1.138
-0.447,1.728,1.068
-0.382,1.779,0.941
-0.311,1.689,0.826
-0.123,1.444,0.764
0.065,0.905,0.478
0.351,0.272,0.242
0.854,-0.661,0.101
1.535,-2.103,-0.026
1.704,-3.046,-0.065
1.471,-3.334,0.178
0.703,-2.738,0.552
0.321,-2.283,1.014
-0.045,-1.698,1.318
-0.204,-1.511,1.774
-0.203,-1.514,2.147
-0.13,-1.399,2.438
-0.149,-1.329,2.438
-0.154,-1.11,2.214
0.045,-0.616,1.96
0.461,-0.561,1.77
0.96,-0.56,1.416
1.143,-0.419,0.954
1.245,-0.344,0.626
1.252,-0.368,0.355
1.189,-0.418,0.111
0.951,-0.413,0.102
0.705,-0.393,0.268
0.555,-0.329,0.504
0.526,-0.261,0.694
0.557,-0.148,0.792
0.627,-0.06,0.797
0.658,-0.007,0.798
0.643,-0.022,0.791
0.615,-0.041,0.807
0.586,-0.019,0.822
0.558,0.011,0.836
0.558,0.034,0.874
0.577,0.033,0.901
0.585,0.04,0.935
0.539,0.063,0.955
0.504,0.069,0.964
0.453,0.078,0.969
0.421,0.089,0.967
0.375,0.079,0.962
0.325,0.078,0.961
0.278,0.116,0.951
0.234,0.15,0.925
0.203,0.134,0.911
0.184,0.107,0.91
0.173,0.08,0.896
0.157,0.09,0.868
0.117,0.154,0.848
0.103,0.211,0.841
0.085,0.244,0.837
0.086,0.245,0.833
0.09,0.226,0.824
0.104,0.205,0.817
0.108,0.202,0.824
0.115,0.203,0.84
0.134,0.19,0.856
0.173,0.149,0.872
0.194,0.135,0.898
0.174,0.205,0.918
0.143,0.233,0.936
0.126,0.198,0.951
0.104,0.192,0.96
0.085,0.214,0.963
0.089,0.202,0.955
0.105,0.201,0.933
0.1,0.207,0.893
0.107,0.166,0.873
0.101,0.163,0.82
0.121,0.155,0.825
0.143,0.148,0.86
0.147,0.125,0.893
0.147,0.143,0.958
0.163,0.171,0.992
0.116,0.26,0.935
0.119,0.277,0.953
0.155,0.253,0.949
0.178,0.271,0.933
0.163,0.279,0.921
0.166,0.283,0.933
0.168,0.282,0.945
0.16,0.283,0.956
0.148,0.284,0.97
0.147,0.28,0.982
0.127,0.285,1.002
0.118,0.299,1.015
0.119,0.289,1.021
0.131,0.278,1.02
0.14,0.27,1.029
0.139,0.271,1.029
0.146,0.263,1.02
0.167,0.249,1.012
0.159,0.208,1.007
0.143,0.163,1.019
0.123,0.138,1.053
0.1,0.146,1.1
0.086,0.142,1.127
0.072,0.129,1.138
0.069,0.106,1.137
0.069,0.08,1.13
0.066,0.07,1.123
0.06,0.067,1.107
0.046,0.062,1.087
0.038,0.058,1.071
0.04,0.053,1.049
0.038,0.048,1.038
0.041,0.041,1.034
