Accel_x,Accel_y,Accel_z
0.79,0.314,-0.688
0.792,0.308,-0.677
0.802,0.305,-0.653
0.817,0.307,-0.632
0.816,0.32,-0.604
0.812,0.349,-0.581
0.807,0.362,-0.544
0.802,0.38,-0.52
0.793,0.393,-0.494
0.766,0.396,-0.484
0.733,0.379,-0.478
0.696,0.374,-0.47
0.69,0.385,-0.457
0.695,0.425,-0.448
0.695,0.458,-0.436
0.694,0.493,-0.411
0.694,0.507,-0.384
0.706,0.516,-0.373
0.719,0.525,-0.35
0.724,0.534,-0.327
0.724,0.541,-0.305
0.719,0.556,-0.28
0.717,0.545,-0.261
0.712,0.538,-0.227
0.702,0.519,-0.193
0.698,0.49,-0.171
0.701,0.473,-0.157
0.732,0.492,-0.112
0.786,0.507,-0.088
0.807,0.526,-0.065
0.828,0.517,-0.04
0.832,0.492,-0.016
0.815,0.478,0
0.8,0.461,0.017
0.773,0.462,0.049
0.781,0.468,0.162
0.863,0.467,0.172
0.813,0.469,0.221
0.779,0.475,0.229
0.719,0.481,0.234
0.694,0.493,0.249
0.699,0.497,0.322
0.699,0.504,0.363
0.666,0.532,0.397
0.664,0.563,0.436
0.61,0.565,0.451
0.561,0.54,0.479
0.526,0.523,0.503
0.505,0.533,0.467
0.485,0.54,0.428
0.467,0.544,0.406
0.48,0.569,0.43
0.523,0.61,0.452
0.528,0.752,0.472
0.506,0.84,0.624
0.515,0.889,0.569
0.547,0.879,0.608
0.53,0.859,0.617
0.455,0.827,0.582
0.379,0.771,0.649
0.363,0.66,0.764
0.297,0.431,0.783
0.169,0.194,0.823
-0.049,-0.039,0.745
-0.35,0.02,0.922
-0.27,0.224,1.211
-0.171,0.366,1.099
0.008,0.425,0.839
0.134,0.427,0.706
0.214,0.422,0.692
0.258,0.419,0.706
0.251,0.435,0.75
0.148,0.595,0.663
0.266,0.593,0.887
0.364,0.484,0.926
0.303,0.473,0.772
0.853,0.395,-0.785
0.936,0.412,-0.86
0.948,0.434,-0.944
0.903,0.435,-0.945
0.887,0.444,-0.932
0.901,0.427,-0.918
0.943,0.375,-0.891
0.961,0.348,-0.814
0.971,0.323,-0.752
1.003,0.301,-0.712
1.021,0.256,-0.645
1.002,0.243,-0.588
0.956,0.239,-0.567
0.931,0.243,-0.535
0.906,0.238,-0.536
0.891,0.246,-0.539
0.86,0.243,-0.532
0.826,0.243,-0.527
0.806,0.255,-0.531
0.791,0.267,-0.54
0.779,0.299,-0.55
0.762,0.326,-0.554
0.752,0.353,-0.551
0.743,0.369,-0.544
0.76,0.385,-0.535
